"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51"
"1","AXIN2","NOTCH1","CDK6","PRKCA","TBX3","NFE2L2","FZD7","SLC13A3","TSC1","LEF1","BRAF","NRAS","TGFBR3","MSH3","DNMT3A","AKT2","LRP6","KLRC1","CCR6","CCL11","FGFR3","TP63","PMS2","IL22","KIR3DL2","CD177","IL12RB2","KIR2DL4","CEACAM8","MMRN1","FCER2","TEK","MUC4","VEGFC","CLDN5","PKIB","EOMES","GZMK","IL3RA","FGFR2","PDGFC","TBX21","CD28","KLRB1","CD86","CSF3","KLF2","TGFB2","DUSP6","THBD"
"2","COL1A1","FN1","ACTA2","PDGFRB","SFRP2","COL5A1","MMP11","DES","COL4A1","TGFB3","COL11A1","SERPINE1","CD248","PDGFRA","FGFR1","WWTR1","FBLN1","MYH11","SMOC2","SNAI2","TNC","FAP","CAV1","ITGA1","AKT3","ELN","COL6A3","LOX","MFAP5","SMO","PDPN","VCAM1","TNFSF4","FGF1","ANGPT2","TWIST1","ZEB1","ANGPT1","CLCA1","ROR1","HGF","MMP2","CCL26","CD1E","TCL1A","CXCR5","SH2D1B","CCR6","STAP1","NCR1"
"3","SERPINA1","CEACAM1","S100A9","MMP1","CDKN1A","NFKB2","RELA","IFNGR2","DUSP6","STAT3","CD276","CEACAM8","PRTN3","TSC2","KIR3DL2","IL4","TP63","IL13","IL12B","PAX5","IDO2","IL5RA","ARG1","SOX2","CXCR5","CD70","CD226","MTOR","CCR10","CXCR2","XCR1","ROS1","WNT3A","CCL11","FGF1","CCR6","ATM","CSF2","CD244","PMS2","IKZF4","MUC4","IL2RA","CCR2","CXCR1","EPHA4","LGR5","KIT","PTEN","SIGLEC1"
"4","C1QC","LYZ","FCGR3A","CYBB","HLA.DPB1","CD14","CSF1R","ITGB2","HLA.DQA1","MAFB","MRC1","CD4","FCGR2A","CD40","ITGAM","HAVCR2","TREM2","CMKLR1","CD163","NRP1","TLR2","CSF2RA","HIF1A","MSR1","CCR1","CXCL9","CD86","CD209","CXCL16","ITGA4","HLA.DPA1","PDCD1LG2","TGFBR1","TLR1","STAT5A","CX3CR1","SIGLEC1","IRF5","CD1C","MS4A1","CD80","FCER1A","IDO2","IL2RA","IL10","TGM2","XCR1","CD207","PDK4","IL13"
"5","PKM","HDAC1","BRD4","LMNA","SMAD2","DIABLO","HRAS","HDAC3","MAP2K1","KRAS","PDGFC","EGF","TCL1A","CCL28","ANGPT1","MMP2","ATM","ESCO2","PMS2","CASP8","CCR2","IRF5","LGR5","KIT","CLDN5","GZMH","IL3RA","FGFR2","RORC","CD274","ELN","CD28","KLRB1","CXCL2","STING1","CD209","CCL4","ICOSLG","LAMP3","CD86","TP53","CCNE1","LEF1","NLRC5","WNT5A","TGFBR3","LRP6","MMP7","CD163","GZMB"
"6","MKI67","PLK1","AURKA","BIRC5","CCNB1","FOXM1","AURKB","BUB1","XCL1","ESCO2","PTGDR2","KLRF1","CCL1","VTN","TSC2","IL17A","IL13","TCL1A","CCL7","IL21","CD68","FLI1","CD1E","TGM2","CCL28","CCL26","IL4","EGF","PRTN3","CD8B","IL12B","PPARGC1A","PAX5","CD177","FABP2","CD160","CD207","IL12RB2","KIR2DL4","TBX10","CLCA1","CR2","MPO","ARG1","IFNB1","CCL17","SOX2","CEACAM8","CXCR5","PDGFC"
"7","SOX9","WNT3","IKZF4","CCL1","VTN","IL13","FLI1","CCL28","CCL26","CD8B","PPARGC1A","ELANE","IDO2","FABP2","CD207","IL12RB2","IL5RA","TBX10","SOX2","CD70","IFNG","ANGPT1","CD1B","MMP2","RET","TNFRSF13B","CXCR2","XCR1","FGF1","MMRN1","HGF","TWIST1","CCL8","SH2D1B","SELL","FCER2","ESCO2","TEK","TMEM59","CD244","TNFSF4","SMO","MUC4","KLRF1","NCAM1","VEGFC","CTSG","SNAI1","CCR2","PDPN"
"8","LAMC2","LAMB3","EPHA2","ITGB1","CCND1","ZBED2","LGR6","BCL2L1","MET","TGFBR2","AMOTL2","EGFR","PDGFB","PDGFA","FGF2","MMP7","FOSL1","IL23A","RET","IL17A","PTGDR2","KLRF1","VTN","IL13","CCL7","IL21","FLI1","KIR3DL2","CCL28","PGLYRP1","CD8B","PPARGC1A","ELANE","FGFBP2","IDO2","CD207","IL12RB2","IL5RA","TBX10","CLCA1","ARG1","IFNB1","CEACAM8","PDGFC","CD70","IFNG","ROR1","ANGPT1","MMP2","TNFRSF13B"
"9","PROX1","GPX3","ASCL2","YAP1","TCF7L2","IRF3","TGFB1","LRP5","MAML1","IGF1R","INSR","FGFR2","LGR5","DKK1","PAX5","PTGDR2","KLRF1","CCL1","VTN","IL17A","TCL1A","CD68","FLI1","KIR3DL2","CCL28","CCL26","EGF","PPARGC1A","IDO2","CD177","FABP2","CD160","CD207","IL12RB2","IL5RA","KIR2DL4","CLCA1","IFNB1","CCL17","CXCR5","CD70","IFNG","CD226","CD1B","MMP2","TNFRSF13B","CXCR2","XCR1","BTLA","FGF1"
"10","FOS","EGR1","JUN","JUNB","DUSP1","ATF3","PLA2G2A","IGF1","CTSG","IL1R2","CCR3","CXCL12","CD1B","CR2","IL5RA","IL17A","CCL7","FLI1","CD1E","TGM2","PRTN3","PAX5","IL12RB2","KIR2DL4","TBX10","CEACAM8","NCR3","CD70","BTLA","ROS1","CCL8","SH2D1B","ATM","CD80","TMEM59","CD244","TNFSF4","PMS2","VEGFC","IL2RA","PDPN","IRF5","PTEN","FASLG","ICOS","CCL28","ANGPT2","CCR8","ARAF","PKIB"
